"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"BatteryTest1","512.000","12.168","7.500","999.90"
"BatteryTest1","513.000","12.168","7.500","999.90"
"BatteryTest1","514.000","12.168","7.500","999.90"
"BatteryTest1","515.000","12.164","7.500","999.90"
"BatteryTest1","516.000","12.168","7.500","999.90"
"BatteryTest1","517.000","12.164","7.500","999.90"
"BatteryTest1","518.000","12.164","7.500","999.90"
"BatteryTest1","519.000","12.164","7.500","999.90"
"BatteryTest1","520.000","12.160","7.500","999.90"
"BatteryTest1","521.000","12.160","7.500","999.90"
"BatteryTest1","522.000","12.160","7.500","999.90"
"BatteryTest1","523.000","12.160","7.500","999.90"
"BatteryTest1","524.000","12.160","7.500","999.90"
"BatteryTest1","525.000","12.160","7.500","999.90"
"BatteryTest1","526.000","12.160","7.500","999.90"
"BatteryTest1","527.000","12.160","7.500","999.90"
"BatteryTest1","528.000","12.160","7.500","999.90"
"BatteryTest1","529.000","12.160","7.500","999.90"
"BatteryTest1","530.000","12.160","7.500","999.90"
"BatteryTest1","531.000","12.160","7.500","999.90"
"BatteryTest1","532.000","12.160","7.500","999.90"
