"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Test_1","414.000","12.396","7.500","999.90"
"Test_1","415.000","12.396","7.500","999.90"
"Test_1","416.000","12.396","7.500","999.90"
"Test_1","417.000","12.392","7.500","999.90"
"Test_1","418.000","12.392","7.500","999.90"
"Test_1","419.000","12.396","7.500","999.90"
"Test_1","420.000","12.392","7.500","999.90"
"Test_1","421.000","12.392","7.500","999.90"
"Test_1","422.000","12.396","7.500","999.90"
"Test_1","423.000","12.392","7.500","999.90"
"Test_1","424.000","12.392","7.500","999.90"
"Test_1","425.000","12.392","7.500","999.90"
"Test_1","426.000","12.392","7.500","999.90"
"Test_1","427.000","12.392","7.500","999.90"
"Test_1","428.000","12.392","7.500","999.90"
"Test_1","429.000","12.392","7.500","999.90"
"Test_1","430.000","12.396","7.500","999.90"
"Test_1","431.000","12.396","7.500","999.90"
"Test_1","432.000","12.392","7.500","999.90"
"Test_1","433.000","12.392","7.500","999.90"
"Test_1","434.000","12.392","7.500","999.90"
"Test_1","435.000","12.392","7.500","999.90"
"Test_1","436.000","12.396","7.500","999.90"
"Test_1","437.000","12.392","7.500","999.90"
"Test_1","438.000","12.392","7.500","999.90"
"Test_1","439.000","12.392","7.500","999.90"
"Test_1","440.000","12.392","7.500","999.90"
"Test_1","441.000","12.392","7.500","999.90"
"Test_1","442.000","12.392","7.500","999.90"
"Test_1","443.000","12.392","7.500","999.90"
"Test_1","444.000","12.392","7.500","999.90"
"Test_1","445.000","12.392","7.500","999.90"
"Test_1","446.000","12.392","7.500","999.90"
"Test_1","447.000","12.392","7.500","999.90"
"Test_1","448.000","12.392","7.500","999.90"
"Test_1","449.000","12.392","7.500","999.90"
"Test_1","450.000","12.392","7.500","999.90"
"Test_1","451.000","12.392","7.500","999.90"
"Test_1","452.000","12.392","7.500","999.90"
"Test_1","453.000","12.392","7.500","999.90"
"Test_1","454.000","12.392","7.500","999.90"
"Test_1","455.000","12.392","7.500","999.90"
"Test_1","456.000","12.392","7.500","999.90"
"Test_1","457.000","12.392","7.500","999.90"
"Test_1","458.000","12.392","7.500","999.90"
"Test_1","459.000","12.392","7.500","999.90"
"Test_1","460.000","12.392","7.500","999.90"
"Test_1","461.000","12.396","7.500","999.90"
"Test_1","462.000","12.396","7.500","999.90"
"Test_1","463.000","12.392","7.500","999.90"
"Test_1","464.000","12.392","7.500","999.90"
"Test_1","465.000","12.392","7.500","999.90"
"Test_1","466.000","12.392","7.500","999.90"
"Test_1","467.000","12.392","7.500","999.90"
"Test_1","468.000","12.396","7.500","999.90"
"Test_1","469.000","12.392","7.500","999.90"
"Test_1","470.000","12.392","7.500","999.90"
"Test_1","471.000","12.396","7.500","999.90"
"Test_1","472.000","12.392","7.500","999.90"
"Test_1","473.000","12.392","7.500","999.90"
"Test_1","474.000","12.396","7.500","999.90"
"Test_1","475.000","12.392","7.500","999.90"
